Airline,Date_of_Journey,Source,Destination,Route,Additional_Info,Price,Duration_in_mins,Month_of_Journey,Dep_Time_in_htclass,Day_of_Journey,Totalno_Stops
IndiGo,24/06/2019,Kolkata,Banglore,CCU ? BLR,No Info,4804,150,June,afternoon,Monday,0
Air India,21/03/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,No Info,8236,1595,March,evening,Thursday,2
IndiGo,27/03/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,6416,570,March,late morning,Wednesday,1
Jet Airways,09/06/2019,Delhi,Cochin,DEL ? BOM ? COK,In-flight meal not included,10262,450,September,late morning,Friday,1
Jet Airways,09/06/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,14714,1210,September,night,Friday,1
SpiceJet,01/04/2019,Kolkata,Banglore,CCU ? IXB ? BLR,No Info,7646,330,January,afternoon,Friday,1
Air India,01/06/2019,Delhi,Cochin,DEL ? MAA ? COK,No Info,7480,765,January,night,Sunday,1
Vistara,27/05/2019,Chennai,Kolkata,MAA ? CCU,No Info,11982,140,May,evening,Monday,0
Multiple carriers,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,8309,520,May,late morning,Saturday,1
Jet Airways,09/06/2019,Delhi,Cochin,DEL ? BHO ? BOM ? COK,In-flight meal not included,13344,425,September,early morning,Friday,2
Air India,01/04/2019,Kolkata,Banglore,CCU ? HYD ? BLR,No Info,4227,890,January,night,Friday,1
Air India,21/03/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,No Info,9706,1180,March,noon,Thursday,2
SpiceJet,06/05/2019,Mumbai,Hyderabad,BOM ? HYD,No Info,2017,90,June,noon,Wednesday,0
IndiGo,12/06/2019,Delhi,Cochin,DEL ? HYD ? COK,No Info,6442,835,December,late morning,Friday,1
Jet Airways,15/06/2019,Banglore,Delhi,BLR ? DEL,No Info,8016,185,June,evening,Saturday,0
IndiGo,01/04/2019,Delhi,Cochin,DEL ? HYD ? COK,No Info,5298,320,January,early morning,Friday,1
Vistara,21/05/2019,Banglore,Delhi,BLR ? DEL,No Info,4878,155,May,evening,Tuesday,0
Jet Airways,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,In-flight meal not included,10262,865,June,afternoon,Monday,1
IndiGo,12/05/2019,Kolkata,Banglore,CCU ? HYD ? BLR,No Info,4176,300,December,early morning,Thursday,1
IndiGo,15/06/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,5883,845,June,late morning,Saturday,1
Multiple carriers,06/06/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,12717,540,June,late morning,Thursday,1
IndiGo,12/05/2019,Chennai,Kolkata,MAA ? CCU,No Info,3850,140,December,early morning,Thursday,0
IndiGo,27/05/2019,Chennai,Kolkata,MAA ? CCU,No Info,3597,140,May,night,Monday,0
SpiceJet,09/05/2019,Mumbai,Hyderabad,BOM ? HYD,No check-in baggage included,2175,90,September,noon,Thursday,0
Air Asia,12/04/2019,Banglore,Delhi,BLR ? DEL,No Info,7080,170,December,night,Wednesday,0
Jet Airways,01/04/2019,Kolkata,Banglore,CCU ? BOM ? BLR,In-flight meal not included,8849,665,January,night,Friday,1
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,In-flight meal not included,9899,685,December,late morning,Friday,1
Vistara,15/06/2019,Banglore,Delhi,BLR ? DEL,No Info,4878,160,June,early morning,Saturday,0
Multiple carriers,09/05/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,7787,705,September,early morning,Thursday,1
SpiceJet,03/05/2019,Chennai,Kolkata,MAA ? CCU,No Info,3597,140,March,evening,Tuesday,0
GoAir,01/04/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,5281,540,January,late morning,Friday,1
Vistara,15/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,No Info,9345,1350,May,night,Wednesday,1
IndiGo,24/06/2019,Delhi,Cochin,DEL ? HYD ? COK,No Info,6442,635,June,late morning,Monday,1
IndiGo,06/06/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,6838,705,June,late morning,Thursday,1
SpiceJet,03/06/2019,Chennai,Kolkata,MAA ? CCU,No Info,3597,140,March,evening,Wednesday,0
SpiceJet,21/03/2019,Mumbai,Hyderabad,BOM ? HYD,No Info,3173,80,March,early morning,Thursday,0
Multiple carriers,03/06/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,13377,435,March,evening,Wednesday,1
Jet Airways,09/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,In-flight meal not included,9314,1295,September,night,Thursday,1
Multiple carriers,09/03/2019,Delhi,Cochin,DEL ? HYD ? COK,No Info,9856,545,September,noon,Tuesday,1
Air India,21/05/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,8372,675,May,late morning,Tuesday,1
Jet Airways,01/04/2019,Kolkata,Banglore,CCU ? BOM ? BLR,In-flight meal not included,7064,1400,January,evening,Friday,1
Jet Airways,27/05/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,In-flight meal not included,13029,810,May,early morning,Monday,2
IndiGo,24/05/2019,Delhi,Cochin,DEL ? HYD ? COK,No Info,7640,490,May,afternoon,Friday,1
Jet Airways,01/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,No Info,22270,435,January,late morning,Thursday,1
Air India,01/04/2019,Banglore,Delhi,BLR ? DEL,No Info,4441,170,January,night,Friday,0
Jet Airways,27/05/2019,Delhi,Cochin,DEL ? BOM ? COK,In-flight meal not included,12898,1165,May,late morning,Monday,1
Jet Airways,01/04/2019,Kolkata,Banglore,CCU ? BOM ? BLR,In-flight meal not included,7064,1285,January,evening,Friday,1
Jet Airways,09/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,In-flight meal not included,10844,740,September,late morning,Friday,1
SpiceJet,09/06/2019,Kolkata,Banglore,CCU ? BLR,No Info,4174,145,September,late morning,Friday,0
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,In-flight meal not included,8529,1695,December,evening,Friday,1
IndiGo,21/05/2019,Banglore,Delhi,BLR ? DEL,No Info,3625,170,May,night,Tuesday,0
IndiGo,21/05/2019,Banglore,Delhi,BLR ? DEL,No Info,3419,175,May,midnight,Tuesday,0
IndiGo,24/05/2019,Chennai,Kolkata,MAA ? CCU,No Info,3850,145,May,early morning,Friday,0
Air India,24/05/2019,Kolkata,Banglore,CCU ? BOM ? COK ? BLR,No Info,12802,1255,May,evening,Friday,2
SpiceJet,06/03/2019,Delhi,Cochin,DEL ? MAA ? COK,No Info,9748,360,June,afternoon,Monday,1
IndiGo,03/06/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,6104,500,March,evening,Wednesday,1
IndiGo,21/06/2019,Banglore,Delhi,BLR ? DEL,No Info,3943,180,June,night,Friday,0
IndiGo,03/06/2019,Delhi,Cochin,DEL ? HYD ? COK,No Info,7514,560,March,early morning,Wednesday,1
Jet Airways,06/03/2019,Banglore,New Delhi,BLR ? DEL,No Info,18308,160,June,night,Monday,0
Air India,06/03/2019,Mumbai,Hyderabad,BOM ? GOI ? PNQ ? HYD,No Info,17327,255,June,night,Monday,2
Air India,27/03/2019,Delhi,Cochin,DEL ? HYD ? BOM ? COK,No Info,8892,1115,March,noon,Wednesday,2
Multiple carriers,27/05/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,9794,520,May,late morning,Monday,1
IndiGo,01/04/2019,Banglore,Delhi,BLR ? DEL,No Info,4423,175,January,midnight,Friday,0
Jet Airways,24/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,In-flight meal not included,10844,1485,May,night,Friday,1
Jet Airways,09/05/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,15554,1485,September,evening,Thursday,1
Vistara,01/05/2019,Chennai,Kolkata,MAA ? CCU,No Info,11982,140,January,evening,Saturday,0
IndiGo,03/06/2019,Mumbai,Hyderabad,BOM ? HYD,No Info,4049,90,March,early morning,Wednesday,0
IndiGo,24/03/2019,Kolkata,Banglore,CCU ? BLR,No Info,5618,155,March,afternoon,Sunday,0
Air India,27/06/2019,Delhi,Cochin,DEL ? CCU ? BOM ? COK,No Info,13591,1380,June,night,Thursday,2
Multiple carriers,27/05/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,9508,930,May,late morning,Monday,1
SpiceJet,18/06/2019,Chennai,Kolkata,MAA ? CCU,No check-in baggage included,3543,135,June,late morning,Tuesday,0
Jet Airways,18/04/2019,Banglore,Delhi,BLR ? DEL,No Info,7229,185,April,evening,Thursday,0
Jet Airways,21/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,No Info,14388,1200,May,afternoon,Tuesday,1
Jet Airways,15/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,In-flight meal not included,10844,1025,May,evening,Wednesday,1
Air India,09/06/2019,Delhi,Cochin,DEL ? MAA ? COK,No Info,7690,765,September,night,Friday,1
Jet Airways,21/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,No Info,13067,1450,May,late morning,Tuesday,1
SpiceJet,03/04/2019,Mumbai,Hyderabad,BOM ? HYD,No check-in baggage included,1965,90,March,early morning,Monday,0
Jet Airways,09/03/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,16289,1610,September,evening,Tuesday,1
Air India,12/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,No Info,10203,745,December,night,Thursday,1
Jet Airways,06/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,No Info,15149,570,June,afternoon,Wednesday,1
Vistara,21/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,No Info,9345,385,May,evening,Tuesday,1
SpiceJet,18/05/2019,Mumbai,Hyderabad,BOM ? HYD,No Info,2017,90,May,early morning,Saturday,0
Vistara,15/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,No Info,9345,975,May,early morning,Wednesday,1
Air India,06/05/2019,Kolkata,Banglore,CCU ? MAA ? BLR,No Info,6528,1485,June,afternoon,Wednesday,1
Multiple carriers,03/03/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,15603,380,March,early morning,Sunday,1
SpiceJet,27/06/2019,Delhi,Cochin,DEL ? MAA ? COK,No Info,5583,315,June,early morning,Thursday,1
Jet Airways,09/06/2019,Delhi,Cochin,DEL ? BOM ? COK,In-flight meal not included,10577,1620,September,evening,Friday,1
Air India,15/05/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,No Info,10651,1180,May,noon,Wednesday,2
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,In-flight meal not included,7594,875,December,afternoon,Friday,1
Air Asia,01/05/2019,Kolkata,Banglore,CCU ? BBI ? BLR,No Info,6857,220,January,early morning,Saturday,1
IndiGo,27/04/2019,Banglore,Delhi,BLR ? DEL,No Info,4423,170,April,noon,Saturday,0
Jet Airways,12/06/2019,Delhi,Cochin,DEL ? BHO ? BOM ? COK,In-flight meal not included,13344,425,December,early morning,Friday,2
SpiceJet,27/04/2019,Banglore,Delhi,BLR ? DEL,No Info,3971,175,April,night,Saturday,0
Jet Airways,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,18371,600,June,late morning,Monday,1
Jet Airways,27/03/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,In-flight meal not included,6643,1995,March,night,Wednesday,2
Multiple carriers,06/03/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,15077,465,June,late morning,Monday,1
Air India,01/05/2019,Banglore,Delhi,BLR ? DEL,No Info,6121,165,January,late morning,Saturday,0
SpiceJet,03/03/2019,Mumbai,Hyderabad,BOM ? HYD,No Info,5755,80,March,noon,Sunday,0
Air India,09/04/2019,Delhi,Cochin,DEL ? MAA ? COK,No Info,4487,765,September,night,Wednesday,1
SpiceJet,21/05/2019,Delhi,Cochin,DEL ? PNQ ? COK,No check-in baggage included,5158,270,May,late morning,Tuesday,1
Jet Airways,01/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,In-flight meal not included,8586,520,January,night,Saturday,1
Air India,01/06/2019,Mumbai,Hyderabad,BOM ? HYD,No Info,3100,80,January,early morning,Sunday,0
Jet Airways,09/05/2019,Mumbai,Hyderabad,BOM ? HYD,In-flight meal not included,3210,85,September,midnight,Thursday,0
Jet Airways,09/05/2019,Delhi,Cochin,DEL ? BOM ? COK,In-flight meal not included,12373,1040,September,night,Thursday,1
Multiple carriers,03/03/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,15135,730,March,early morning,Sunday,1
Jet Airways,27/06/2019,Delhi,Cochin,DEL ? IDR ? BOM ? COK,No Info,13292,810,June,early morning,Thursday,2
SpiceJet,06/06/2019,Mumbai,Hyderabad,BOM ? HYD,No Info,2017,90,June,noon,Thursday,0
Vistara,06/03/2019,Mumbai,Hyderabad,BOM ? DEL ? HYD,No Info,12395,1500,June,night,Monday,1
Jet Airways,06/05/2019,Mumbai,Hyderabad,BOM ? HYD,In-flight meal not included,2228,90,June,night,Wednesday,0
Air Asia,03/06/2019,Delhi,Cochin,DEL ? BLR ? COK,No Info,11410,830,March,evening,Wednesday,1
GoAir,24/06/2019,Kolkata,Banglore,CCU ? BLR,No Info,3514,155,June,afternoon,Monday,0
Jet Airways,06/06/2019,Kolkata,Banglore,CCU ? DEL ? BLR,In-flight meal not included,13469,690,June,late morning,Thursday,1
IndiGo,09/04/2019,Banglore,Delhi,BLR ? DEL,No Info,3943,180,September,night,Wednesday,0
Vistara,03/03/2019,Banglore,New Delhi,BLR ? DEL,No Info,7608,175,March,night,Sunday,0
Air India,27/05/2019,Banglore,Delhi,BLR ? DEL,No Info,6961,165,May,late morning,Monday,0
Multiple carriers,01/06/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,12042,585,January,late morning,Sunday,1
Jet Airways,01/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,Business class,62427,400,January,early morning,Thursday,1
Air India,09/03/2019,Banglore,New Delhi,BLR ? VGA ? HYD ? DEL,No Info,9586,655,September,late morning,Tuesday,2
Jet Airways,09/06/2019,Delhi,Cochin,DEL ? LKO ? BOM ? COK,No Info,13882,1630,September,late morning,Friday,2
Jet Airways,24/05/2019,Kolkata,Banglore,CCU ? GAU ? BLR,No Info,8781,435,May,late morning,Friday,1
Air Asia,12/06/2019,Kolkata,Banglore,CCU ? IXR ? DEL ? BLR,No Info,5192,500,December,afternoon,Friday,2
IndiGo,27/03/2019,Delhi,Cochin,DEL ? HYD ? COK,No Info,6442,940,March,early morning,Wednesday,1
Jet Airways,06/05/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,15554,825,June,night,Wednesday,1
Jet Airways,21/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,In-flight meal not included,10844,1285,May,evening,Tuesday,1
IndiGo,03/04/2019,Mumbai,Hyderabad,BOM ? HYD,No Info,2754,90,March,noon,Monday,0
Multiple carriers,21/05/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,14067,420,May,afternoon,Tuesday,1
GoAir,27/04/2019,Delhi,Cochin,DEL ? AMD ? COK,No Info,5140,370,April,early morning,Saturday,1
IndiGo,09/05/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,8330,895,September,late morning,Thursday,1
Jet Airways,03/03/2019,Mumbai,Hyderabad,BOM ? HYD,No Info,5678,90,March,night,Sunday,0
Jet Airways,12/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,In-flight meal not included,11087,1170,December,night,Tuesday,1
GoAir,01/03/2019,Banglore,New Delhi,BLR ? DEL,No Info,18558,175,January,night,Thursday,0
IndiGo,01/03/2019,Mumbai,Hyderabad,BOM ? HYD,No Info,16000,90,January,midnight,Thursday,0
SpiceJet,06/05/2019,Banglore,Delhi,BLR ? DEL,No check-in baggage included,3573,175,June,night,Wednesday,0
Multiple carriers,15/05/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,7670,760,May,noon,Wednesday,1
Vistara,15/05/2019,Banglore,Delhi,BLR ? DEL,No Info,4878,155,May,evening,Wednesday,0
Jet Airways,27/06/2019,Delhi,Cochin,DEL ? IDR ? BOM ? COK,In-flight meal not included,11507,1295,June,night,Thursday,2
Air Asia,06/06/2019,Delhi,Cochin,DEL ? BLR ? COK,No Info,8759,330,June,early morning,Thursday,1
Jet Airways,12/06/2019,Delhi,Cochin,DEL ? BOM ? COK,In-flight meal not included,10262,1530,December,evening,Friday,1
Air India,21/05/2019,Delhi,Cochin,DEL ? HYD ? MAA ? COK,No Info,10975,1580,May,early morning,Tuesday,2
Jet Airways,06/06/2019,Delhi,Cochin,DEL ? BOM ? COK,In-flight meal not included,10262,550,June,night,Thursday,1
Multiple carriers,27/06/2019,Delhi,Cochin,DEL ? BOM ? COK,In-flight meal not included,6007,490,June,noon,Thursday,1
IndiGo,21/03/2019,Chennai,Kolkata,MAA ? CCU,No Info,3858,145,March,late morning,Thursday,0
IndiGo,27/06/2019,Delhi,Cochin,DEL ? HYD ? COK,No Info,6412,490,June,afternoon,Thursday,1
Air India,21/04/2019,Kolkata,Banglore,CCU ? BLR,No Info,6245,150,April,afternoon,Sunday,0
Air India,09/06/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,No Info,9968,1410,September,night,Friday,2
Multiple carriers,09/03/2019,Delhi,Cochin,DEL ? BOM ? COK,In-flight meal not included,18260,640,September,midnight,Tuesday,1
IndiGo,03/03/2019,Banglore,New Delhi,BLR ? DEL,No Info,8855,175,March,evening,Sunday,0
Jet Airways,24/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,In-flight meal not included,10844,590,May,late morning,Friday,1
SpiceJet,27/05/2019,Chennai,Kolkata,MAA ? CCU,No Info,3597,135,May,late morning,Monday,0
Jet Airways,06/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,No Info,13067,1685,June,evening,Wednesday,1
Jet Airways,12/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,No Info,13817,1070,December,evening,Tuesday,1
Air India,12/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,No Info,11602,990,December,early morning,Tuesday,1
Jet Airways,09/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,No Info,13941,1545,September,evening,Thursday,1
Jet Airways,15/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,No Info,14151,1365,May,night,Wednesday,1
IndiGo,15/05/2019,Banglore,Delhi,BLR ? DEL,No Info,3943,170,May,early morning,Wednesday,0
Jet Airways,12/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,In-flight meal not included,10844,705,December,early morning,Thursday,1
SpiceJet,18/06/2019,Mumbai,Hyderabad,BOM ? HYD,No Info,2753,90,June,early morning,Tuesday,0
Jet Airways,12/06/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,14714,1005,December,midnight,Friday,1
Multiple carriers,18/05/2019,Delhi,Cochin,DEL ? HYD ? COK,No Info,9646,545,May,early morning,Saturday,1
Jet Airways,09/05/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,15554,330,September,early morning,Thursday,1
Air India,18/03/2019,Banglore,New Delhi,BLR ? VGA ? VTZ ? DEL,No Info,13261,435,March,late morning,Monday,2
Jet Airways,18/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,In-flight meal not included,11087,1045,March,late morning,Monday,1
Jet Airways,15/06/2019,Delhi,Cochin,DEL ? IDR ? BOM ? COK,In-flight meal not included,11507,810,June,early morning,Saturday,2
Multiple carriers,09/05/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,9424,390,September,night,Thursday,1
GoAir,12/04/2019,Banglore,Delhi,BLR ? DEL,No Info,4937,170,December,late morning,Wednesday,0
SpiceJet,06/06/2019,Banglore,Delhi,BLR ? DEL,No check-in baggage included,3257,175,June,night,Thursday,0
IndiGo,06/05/2019,Banglore,Delhi,BLR ? DEL,No Info,4823,170,June,late morning,Wednesday,0
IndiGo,12/05/2019,Chennai,Kolkata,MAA ? CCU,No Info,5277,140,December,night,Thursday,0
SpiceJet,09/04/2019,Kolkata,Banglore,CCU ? BLR,No Info,3873,150,September,evening,Wednesday,0
Jet Airways,24/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,In-flight meal not included,10844,730,May,evening,Friday,1
Multiple carriers,27/05/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,7198,510,May,evening,Monday,1
Air India,15/05/2019,Delhi,Cochin,DEL ? COK,No Info,6094,170,May,early morning,Wednesday,0
IndiGo,03/05/2019,Banglore,Delhi,BLR ? DEL,No Info,3943,165,March,early morning,Tuesday,0
IndiGo,15/05/2019,Banglore,Delhi,BLR ? DEL,No Info,3943,180,May,night,Wednesday,0
Jet Airways,01/04/2019,Kolkata,Banglore,CCU ? BOM ? BLR,No Info,12681,960,January,night,Friday,1
Vistara,15/04/2019,Banglore,Delhi,BLR ? DEL,No Info,5613,155,April,evening,Monday,0
SpiceJet,24/05/2019,Kolkata,Banglore,CCU ? BLR,No Info,3873,145,May,late morning,Friday,0
Jet Airways,27/05/2019,Delhi,Cochin,DEL ? BOM ? COK,In-flight meal not included,12898,1415,May,noon,Monday,1
Jet Airways,09/05/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,No Info,15129,1375,September,early morning,Thursday,2
SpiceJet,09/05/2019,Chennai,Kolkata,MAA ? CCU,No Info,3911,135,September,late morning,Thursday,0
IndiGo,12/06/2019,Delhi,Cochin,DEL ? COK,No Info,6015,195,December,night,Friday,0
Jet Airways,01/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,No Info,54826,365,January,evening,Thursday,1
IndiGo,27/03/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,5073,305,March,night,Wednesday,1
IndiGo,21/03/2019,Chennai,Kolkata,MAA ? CCU,No Info,4326,140,March,early morning,Thursday,0
Jet Airways,03/06/2019,Mumbai,Hyderabad,BOM ? HYD,No Info,8040,90,March,late morning,Wednesday,0
Jet Airways,03/04/2019,Banglore,Delhi,BLR ? DEL,No Info,7229,165,March,early morning,Monday,0
IndiGo,15/06/2019,Banglore,Delhi,BLR ? DEL,No Info,3943,170,June,noon,Saturday,0
Air India,06/03/2019,Banglore,New Delhi,BLR ? HBX ? BOM ? BHO ? DEL,No Info,14195,685,June,noon,Monday,3
Jet Airways,15/06/2019,Delhi,Cochin,DEL ? IDR ? BOM ? COK,No Info,13292,1130,June,late morning,Saturday,2
IndiGo,03/04/2019,Kolkata,Banglore,CCU ? BLR,No Info,4174,155,March,late morning,Monday,0
Jet Airways,06/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,No Info,16736,860,June,early morning,Monday,1
Jet Airways,12/05/2019,Banglore,Delhi,BLR ? DEL,In-flight meal not included,5198,165,December,early morning,Thursday,0
Multiple carriers,03/06/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,15058,730,March,early morning,Wednesday,1
IndiGo,03/04/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,5073,300,March,late morning,Monday,1
Multiple carriers,15/05/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,10197,660,May,late morning,Wednesday,1
SpiceJet,27/06/2019,Chennai,Kolkata,MAA ? CCU,No check-in baggage included,3543,140,June,evening,Thursday,0
Jet Airways,27/06/2019,Banglore,Delhi,BLR ? DEL,In-flight meal not included,7229,180,June,evening,Thursday,0
Air India,01/06/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,No Info,10966,1180,January,noon,Sunday,2
Jet Airways,24/03/2019,Kolkata,Banglore,CCU ? BOM ? BLR,In-flight meal not included,11134,570,March,noon,Sunday,1
Air Asia,06/04/2019,Kolkata,Banglore,CCU ? BLR,No Info,3807,150,June,night,Tuesday,0
Air India,06/05/2019,Banglore,Delhi,BLR ? DEL,No Info,5228,170,June,noon,Wednesday,0
IndiGo,12/06/2019,Chennai,Kolkata,MAA ? CCU,No Info,3597,140,December,afternoon,Friday,0
Air Asia,18/05/2019,Banglore,Delhi,BLR ? DEL,No Info,4483,165,May,late morning,Saturday,0
Jet Airways,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,In-flight meal not included,10262,1015,June,late morning,Monday,1
SpiceJet,06/06/2019,Delhi,Cochin,DEL ? PNQ ? COK,No check-in baggage included,5158,270,June,late morning,Thursday,1
Air India,21/03/2019,Banglore,New Delhi,BLR ? COK ? DEL,No Info,6010,1520,March,night,Thursday,1
Jet Airways,12/06/2019,Delhi,Cochin,DEL ? NAG ? BOM ? COK,No Info,13376,1320,December,afternoon,Friday,2
Jet Airways,21/03/2019,Delhi,Cochin,DEL ? BHO ? BOM ? COK,No Info,11543,1365,March,early morning,Thursday,2
Multiple carriers,06/03/2019,Delhi,Cochin,DEL ? BOM ? COK,In-flight meal not included,15342,560,June,late morning,Monday,1
SpiceJet,15/03/2019,Banglore,New Delhi,BLR ? DEL,No Info,6309,175,March,late morning,Friday,0
Vistara,24/05/2019,Banglore,Delhi,BLR ? DEL,No Info,5823,165,May,night,Friday,0
SpiceJet,01/06/2019,Kolkata,Banglore,CCU ? BLR,No Info,3873,155,January,early morning,Sunday,0
Jet Airways,27/05/2019,Delhi,Cochin,DEL ? BOM ? COK,In-flight meal not included,12898,1270,May,night,Monday,1
IndiGo,15/05/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,6979,500,May,evening,Wednesday,1
Air India,12/05/2019,Kolkata,Banglore,CCU ? GAU ? DEL ? BLR,No Info,13437,1410,December,evening,Thursday,2
Jet Airways,27/03/2019,Delhi,Cochin,DEL ? BOM ? COK,In-flight meal not included,6017,1015,March,late morning,Wednesday,1
Jet Airways,21/03/2019,Delhi,Cochin,DEL ? BOM ? COK,In-flight meal not included,14053,330,March,early morning,Thursday,1
IndiGo,06/03/2019,Chennai,Kolkata,MAA ? CCU,No Info,7295,145,June,late morning,Monday,0
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,No Info,13044,1495,December,evening,Friday,1
Jet Airways,03/05/2019,Banglore,Delhi,BLR ? DEL,In-flight meal not included,4030,175,March,late morning,Tuesday,0
Air India,06/03/2019,Banglore,New Delhi,BLR ? HYD ? VGA ? DEL,No Info,13942,1625,June,late morning,Monday,2
Jet Airways,12/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,No Info,14781,705,December,early morning,Thursday,1
SpiceJet,24/03/2019,Banglore,New Delhi,BLR ? DEL,No Info,3579,170,March,early morning,Sunday,0
IndiGo,27/05/2019,Delhi,Cochin,DEL ? HYD ? COK,No Info,5530,320,May,early morning,Monday,1
Jet Airways,12/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,In-flight meal not included,10844,345,December,afternoon,Thursday,1
Air India,06/06/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,8372,675,June,late morning,Thursday,1
Jet Airways,09/03/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,16289,775,September,early morning,Tuesday,1
Air India,06/05/2019,Delhi,Cochin,DEL ? GOI ? BOM ? COK,No Info,11701,1275,June,night,Wednesday,2
Multiple carriers,21/03/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,11269,570,March,early morning,Thursday,1
Multiple carriers,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,9385,750,May,noon,Saturday,1
Jet Airways,24/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,No Info,14151,395,May,evening,Friday,1
Jet Airways,09/04/2019,Banglore,Delhi,BLR ? DEL,In-flight meal not included,4544,180,September,late morning,Wednesday,0
Jet Airways,12/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,In-flight meal not included,11087,850,December,night,Tuesday,1
IndiGo,03/06/2019,Kolkata,Banglore,CCU ? BLR,No Info,5224,155,March,early morning,Wednesday,0
IndiGo,27/06/2019,Kolkata,Banglore,CCU ? BLR,No Info,4804,155,June,late morning,Thursday,0
